Title,Category,Pages,Publisher,Price,AuthorSurname,AuthorName,ISBN,Count
"Complete Mastermind, The",nonfiction,178,BBC,64,BBC,,248-69-59992-99-2,4
Dylan on Dylan,nonfiction,197,Random House,180,Dylan,Bob,812-40-92099-81-7,7
Soft Computing & Intelligent Systems,data_science,242,Elsevier,55,Gupta,Madan,335-47-23011-26-0,1
Textbook of Economic Theory,economics,242,Pearson,53,Stonier,Alfred,129-11-80038-72-6,4
Econometric Analysis,economics,242,Pearson,209,Greene,W. H.,518-06-22878-84-4,8
Learning OpenCV,data_science,232,O'Reilly,284,Bradsky,Gary,625-23-18889-33-3,1
Data Structures Using C & C++,computer_science,235,Prentice Hall,232,Tanenbaum,Andrew,902-48-89459-50-7,5
"Computer Vision, A Modern Approach",data_science,255,Pearson,146,Forsyth,David,621-54-50908-77-9,4
Principles of Communication Systems,computer_science,240,TMH,185,Taub,Schilling,790-38-28937-73-0,4
Let Us C,computer_science,213,Prentice Hall,157,Kanetkar,Yashwant,191-44-91503-07-5,1
"Amulet of Samarkand, The",fiction,179,Random House,252,Stroud,Jonathan,955-36-37454-35-6,8
Crime and Punishment,fiction,180,Penguin,298,Dostoevsky,Fyodor,837-51-31009-01-9,4
Angels & Demons,fiction,178,Random House,233,Brown,Dan,415-36-58489-71-3,8
"Argumentative Indian, The",nonfiction,209,Picador,68,Sen,Amartya,831-44-71633-26-8,1
Sea of Poppies,fiction,197,Penguin,79,Ghosh,Amitav,224-41-27537-30-6,7
"Idea of Justice, The",nonfiction,212,Penguin,152,Sen,Amartya,058-78-21628-42-3,9
"Raisin in the Sun, A",fiction,175,Penguin,84,Hansberry,Lorraine,300-88-99693-95-1,6
All the President's Men,history,177,Random House,156,Woodward,Bob,813-79-55001-38-6,6
"Prisoner of Birth, A",fiction,176,Pan,297,Archer,Jeffery,395-02-52638-71-1,4
Scoop!,history,216,HarperCollins,254,Nayar,Kuldip,388-63-61593-67-9,4
Ahe Manohar Tari,nonfiction,213,Mauj,73,Deshpande,Sunita,153-67-83521-95-1,3
"Last Mughal, The",history,199,Penguin,202,Dalrymple,William,867-75-89206-32-5,5
"Social Choice & Welfare, Vol 39 No. 1",economics,235,Springer,187,Various,,207-31-19739-64-4,10
Radiowaril Bhashane & Shrutika,nonfiction,213,Mauj,231,Deshpande,P L,033-35-19666-13-7,9
Gun Gayin Awadi,nonfiction,212,Mauj,55,Deshpande,P L,404-14-15412-95-6,9
Aghal Paghal,nonfiction,212,Mauj,97,Deshpande,P L,518-53-09646-70-3,5
Maqta-e-Ghalib,fiction,221,Mauj,270,Garg,Sanjay,735-40-10406-91-4,10
Beyond Degrees,nonfiction,222,HarperCollins,95,,,439-42-80372-11-2,9
Manasa,nonfiction,213,Mauj,117,Kale,V P,358-35-15668-44-8,1
India from Midnight to Milennium,history,198,Penguin,206,Tharoor,Shashi,307-26-36513-19-8,9
"World's Greatest Trials, The",history,210,,292,,,099-77-73731-26-4,4
"Great Indian Novel, The",fiction,198,Penguin,262,Tharoor,Shashi,821-13-47871-56-4,6
O Jerusalem!,history,217,vikas,123,Lapierre,Dominique,094-35-26284-50-5,4
"City of Joy, The",fiction,177,vikas,246,Lapierre,Dominique,289-40-17709-32-6,1
Freedom at Midnight,history,167,vikas,263,Lapierre,Dominique,113-87-97161-99-1,9
"Winter of Our Discontent, The",fiction,196,Penguin,170,Steinbeck,John,185-69-23126-87-0,9
On Education,philosophy,203,Routledge,282,Russell,Bertrand,416-99-31195-74-5,5
Free Will,philosophy,203,FreePress,220,Harris,Sam,903-95-42590-12-0,7
Bookless in Baghdad,nonfiction,206,Penguin,271,Tharoor,Shashi,633-21-73322-09-8,1
"Case of the Lame Canary, The",fiction,179,,131,Gardner,Earle Stanley,963-40-71848-14-9,10
"Theory of Everything, The",science,217,Jaico,151,Hawking,Stephen,763-66-30197-24-0,4
New Markets & Other Essays,economics,176,Penguin,279,Drucker,Peter,847-18-64997-23-1,3
Electric Universe,science,201,Penguin,103,Bodanis,David,956-80-32755-90-3,4
"Hunchback of Notre Dame, The",fiction,175,Random House,125,Hugo,Victor,599-56-90861-10-6,4
Burning Bright,fiction,175,Penguin,249,Steinbeck,John,380-53-10974-68-0,9
"Age of Discontuinity, The",economics,178,Random House,143,Drucker,Peter,777-97-17024-87-0,3
Doctor in the Nude,fiction,179,Penguin,62,Gordon,Richard,302-85-70480-34-1,4
Down and Out in Paris & London,nonfiction,179,Penguin,96,Orwell,George,444-10-36393-39-3,10
Identity & Violence,philosophy,219,Penguin,137,Sen,Amartya,268-77-05111-46-7,7
Beyond the Three Seas,history,197,Random House,218,Dalrymple,William,332-24-68173-64-5,8
"World's Greatest Short Stories, The",fiction,217,Jaico,253,,,574-21-07844-61-6,6
Talking Straight,nonfiction,175,,55,Iacoca,Lee,143-38-80353-22-8,8
"Maugham's Collected Short Stories, Vol 3",fiction,171,Vintage,210,Maugham,William S,712-44-52297-70-0,2
"Phantom of Manhattan, The",fiction,180,,103,Forsyth,Frederick,521-67-15555-53-6,1
Ashenden of The British Agent,fiction,160,Vintage,243,Maugham,William S,390-91-28320-02-2,6
Zen & The Art of Motorcycle Maintenance,philosophy,172,Vintage,142,Pirsig,Robert,357-16-02497-14-4,10
"Great War for Civilization, The",history,197,HarperCollins,141,Fisk,Robert,419-61-36491-94-5,4
We the Living,fiction,178,Penguin,56,Rand,Ayn,045-08-81738-51-4,10
"Artist and the Mathematician, The",science,186,HighStakes,250,Aczel,Amir,528-36-74256-19-8,3
History of Western Philosophy,philosophy,213,Routledge,211,Russell,Bertrand,287-99-72909-48-4,4
Selected Short Stories,fiction,215,Jaico,254,,,468-49-03380-59-3,6
Rationality & Freedom,economics,213,Springer,288,Sen,Amartya,462-17-20909-34-4,7
Clash of Civilizations and Remaking of the World Order,history,228,Simon&Schuster,217,Huntington,Samuel,555-31-77575-41-5,8
Uncommon Wisdom,nonfiction,197,Fontana,93,Capra,Fritjof,948-27-54740-31-3,2
One,nonfiction,172,Dell,74,Bach,Richard,578-15-16982-21-0,1
Karl Marx Biography,nonfiction,162,,246,,,585-76-29944-14-5,6
To Sir With Love,fiction,197,Penguin,116,Braithwaite,,852-24-65359-39-0,3
Half A Life,fiction,196,,275,Naipaul,V S,219-13-58173-82-7,7
"Discovery of India, The",history,230,,196,Nehru,Jawaharlal,745-43-33665-06-1,8
Apulki,nonfiction,211,,118,Deshpande,P L,768-92-01114-82-0,2
Unpopular Essays,philosophy,198,,296,Russell,Bertrand,246-49-55514-33-4,1
"Deceiver, The",fiction,178,,59,Forsyth,Frederick,098-22-90053-11-0,2
Veil: Secret Wars of the CIA,history,171,,93,Woodward,Bob,101-07-05024-44-8,3
Char Shabda,nonfiction,214,,117,Deshpande,P L,900-23-92749-69-1,10
Rosy is My Relative,fiction,176,,149,Durrell,Gerald,546-07-14063-51-1,4
"Moon and Sixpence, The",fiction,180,,132,Maugham,William S,696-94-73351-46-4,8
Political Philosophers,philosophy,162,,225,,,741-97-39491-36-7,1
"Short History of the World, A",history,197,,292,Wells,H G,095-76-15276-37-5,4
"Trembling of a Leaf, The",fiction,205,,278,Maugham,William S,148-34-66304-07-9,3
Doctor on the Brain,fiction,204,,121,Gordon,Richard,435-13-22625-26-3,7
Simpsons & Their Mathematical Secrets,science,233,,141,Singh,Simon,725-76-09926-61-7,8
Pattern Classification,data_science,241,,182,Duda,Hart,576-60-74613-16-4,5
From Beirut to Jerusalem,history,202,,274,Friedman,Thomas,186-45-74134-81-1,9
"Code Book, The",science,197,,82,Singh,Simon,722-97-49540-65-8,9
"Age of the Warrior, The",history,197,,72,Fisk,Robert,038-93-41284-81-2,5
Final Crisis,comic,257,,215,,,472-03-28686-98-8,7
"Killing Joke, The",comic,283,,288,,,169-85-03956-52-8,8
Flashpoint,comic,265,,284,,,126-37-61666-08-8,3
Batman Earth One,comic,265,,251,,,592-99-93307-11-7,5
Crisis on Infinite Earths,comic,258,,125,,,960-37-08758-77-6,8
"Numbers Behind Numb3rs, The",science,202,,72,Devlin,Keith,883-71-19759-86-1,4
Superman Earth One - 1,comic,259,,69,,,443-49-63289-45-4,4
Superman Earth One - 2,comic,258,,83,,,051-65-30996-13-8,2
Justice League: Throne of Atlantis,comic,258,,158,,,730-30-63329-17-5,3
Justice League: The Villain's Journey,comic,258,,177,,,648-14-01117-39-5,1
"Death of Superman, The",comic,258,,297,,,304-22-14489-05-4,8
History of the DC Universe,comic,258,,279,,,765-49-66099-02-2,7
Batman: The Long Halloween,comic,258,,287,,,568-63-85948-43-4,5
"Life in Letters, A",nonfiction,196,,294,Steinbeck,John,511-93-68697-80-4,4
"Information, The",science,233,,101,Gleick,James,437-32-28231-52-4,10
"Journal of Economics, vol 106 No 3",economics,235,,151,,,334-34-61537-97-7,10
Elements of Information Theory,data_science,229,,85,Thomas,Joy,925-66-49225-48-7,4
Power Electronics - Rashid,computer_science,235,,117,Rashid,Muhammad,386-90-58965-52-4,7
Power Electronics - Mohan,computer_science,237,,135,Mohan,Ned,509-36-29165-24-5,4
Neural Networks,data_science,240,,160,Haykin,Simon,320-09-27958-61-1,9
"Grapes of Wrath, The",fiction,196,,183,Steinbeck,John,565-51-19070-51-5,4
Vyakti ani Valli,nonfiction,211,,200,Deshpande,P L,401-73-55709-29-4,6
Statistical Learning Theory,data_science,228,,86,Vapnik,Vladimir,339-40-06315-62-1,1
Empire of the Mughal - The Tainted Throne,history,180,,290,Rutherford,Alex,856-03-48735-96-8,9
Empire of the Mughal - Brothers at War,history,180,,273,Rutherford,Alex,500-04-64027-49-4,3
Empire of the Mughal - Ruler of the World,history,180,,261,Rutherford,Alex,140-11-96962-94-4,5
Empire of the Mughal - The Serpent's Tooth,history,180,,162,Rutherford,Alex,812-67-42023-83-8,9
Empire of the Mughal - Raiders from the North,history,180,,142,Rutherford,Alex,304-40-77585-89-7,6
Mossad,history,236,,197,Baz-Zohar,Michael,528-84-26863-23-2,9
Jim Corbett Omnibus,nonfiction,223,,63,Corbett,Jim,763-80-11033-27-6,1
20000 Leagues Under the Sea,fiction,190,,127,Verne,Jules,321-52-17634-59-8,2
Batatyachi Chal,fiction,200,,107,Deshpande P L,,226-00-74742-79-7,3
Hafasavnuk,fiction,211,,118,Deshpande P L,,199-65-63423-65-9,3
Urlasurla,fiction,211,,282,Deshpande P L,,607-65-94617-75-1,5
Pointers in C,computer_science,213,,280,Kanetkar,Yashwant,669-24-41107-36-1,9
"Cathedral and the Bazaar, The",computer_science,217,,213,Raymond,Eric,739-71-43736-87-8,9
Design with OpAmps,computer_science,240,,136,Franco,Sergio,388-49-62926-38-3,1
Think Complexity,data_science,230,,276,Downey,Allen,727-31-85566-72-1,2
"Devil's Advocate, The",fiction,178,,264,West,Morris,112-04-68867-09-6,9
Ayn Rand Answers,philosophy,203,,50,Rand,Ayn,931-23-39511-00-1,10
Philosophy: Who Needs It,philosophy,171,,210,Rand,Ayn,117-22-64530-88-6,10
"World's Great Thinkers, The",philosophy,189,,164,,,735-14-13356-98-9,1
Data Analysis with Open Source Tools,data_science,230,,275,Janert,Phillip,189-35-18754-45-7,10
Broca's Brain,science,174,,92,Sagan,Carl,433-62-61604-06-8,6
Men of Mathematics,mathematics,217,,53,Bell,E T,404-41-83583-57-7,10
Oxford book of Modern Science Writing,science,240,,218,Dawkins,Richard,707-30-76310-33-5,8
"Justice, Judiciary and Democracy",philosophy,224,,88,Ranjan,Sudhanshu,761-56-60119-00-5,6
"Arthashastra, The",philosophy,214,,157,Kautiyla,,227-23-57191-58-5,5
We the People,philosophy,216,,100,Palkhivala,,125-28-44695-55-2,6
We the Nation,philosophy,216,,272,Palkhivala,,978-42-94045-48-0,9
"Courtroom Genius, The",nonfiction,217,,241,Sorabjee,,602-21-08888-92-0,8
Dongri to Dubai,nonfiction,216,,174,Zaidi,Hussain,322-59-75791-25-9,9
"History of England, Foundation",history,197,,182,Ackroyd,Peter,061-82-34648-65-8,1
City of Djinns,history,198,,68,Dalrymple,William,849-06-46623-71-6,6
India's Legal System,nonfiction,177,,184,Nariman,,853-35-84940-07-5,2
More Tears to Cry,fiction,235,,286,Sassoon,Jean,208-92-55317-54-3,5
"Ropemaker, The",fiction,196,,91,Dickinson,Peter,967-62-89790-18-4,1
Angels & Demons,fiction,170,,239,Brown,Dan,045-82-07523-97-9,3
"Judge, The",fiction,170,,69,,,917-91-77260-00-0,5
"Attorney, The",fiction,170,,51,,,013-90-41753-65-9,8
"Prince, The",philosophy,173,,132,Machiavelli,,866-14-93263-04-0,10
Eyeless in Gaza,fiction,180,,255,Huxley,Aldous,314-25-56858-80-4,5
Tales of Beedle the Bard,fiction,184,,274,Rowling,J K,541-32-53574-62-9,8
Girl with the Dragon Tattoo,fiction,179,,251,Larsson,Steig,615-80-49564-91-5,1
Girl who kicked the Hornet's Nest,fiction,179,,231,Larsson,Steig,763-87-82564-95-5,6
Girl who played with Fire,fiction,179,,113,Larsson,Steig,588-57-92748-95-1,5
Batman Handbook,comic,270,,245,,,173-35-15615-89-0,10
Murphy's Law,nonfiction,178,,76,,,484-36-96164-57-1,6
Structure and Randomness,mathematics,252,,225,Tao,Terence,095-14-10789-88-9,2
Image Processing with MATLAB,signal_processing,241,,166,Eddins,Steve,497-64-80652-49-8,1
Animal Farm,fiction,180,,204,Orwell,George,792-00-49658-03-1,10
"Idiot, The",fiction,197,,173,Dostoevsky,Fyodor,171-40-88643-43-7,6
"Christmas Carol, A",fiction,196,,287,Dickens,Charles,846-48-10483-04-4,3
